Database,Keyword,Tags,Seed keyword,Page,Topic,Page type,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend,Click potential,Content reference 1,Content reference 2,Content reference 3,Content reference 4,Content reference 5,Content reference 6,Content reference 7,Content reference 8,Content reference 9,Content reference 10,Competitor on TOP 10 #1,Competitor on TOP 10 #2,Competitor on TOP 10 #3,Competitor on TOP 10 #4,Competitor on TOP 10 #5,Competitor on TOP 10 #6,Competitor on TOP 10 #7,Competitor on TOP 10 #8,Competitor on TOP 10 #9,Competitor on TOP 10 #10,Priority,Url,Idea,target_page,match_type
uk,27k after tax monthly,,,(non-clustered),,,390.0,6.0,0.0,0.0,109.0,Informational,"Video, Related Searches, AI Overview","0.23,0.19,0.81,1.00,0.67,0.67,0.44,0.29,0.12,0.12,0.07,0.05",90.0,,,,,,,,,,,,,,,,,,,,,,,,https://uknetpay.co.uk/salary/27000-after-tax,exact_match
uk,28000 after tax scotland,,,(non-clustered),,,110.0,14.0,0.81,0.03,90.0,Informational,"Related Searches, Video, Featured Snippet, People Also Ask","0.28,0.35,0.28,0.35,0.35,0.23,0.28,0.28,0.23,0.43,0.28,0.35",80.0,,,,,,,,,,,,,,,,,,,,,,,,https://uknetpay.co.uk/salary/28000-after-tax,exact_match
uk,30000 after tax,,,(non-clustered),,,4400.0,16.0,0.59,0.01,108.0,Informational,"People Also Ask, Related Searches, AI Overview, Video","0.44,0.29,0.29,0.23,0.29,0.36,0.29,0.23,0.15,0.44,0.23,0.29",90.0,,,,,,,,,,,,,,,,,,,,,,,,https://uknetpay.co.uk/salary/30000-after-tax,exact_match
uk,30k salary after tax,,,(non-clustered),,,880.0,14.0,0.0,0.0,107.0,Informational,"Video, People Also Ask, Related Searches, AI Overview","0.88,0.88,0.72,0.88,0.88,0.88,0.88,0.72,0.59,1.00,0.88,0.88",90.0,,,,,,,,,,,,,,,,,,,,,,,,,no_match
uk,33000 a year after tax,,,(non-clustered),,,720.0,11.0,0.68,0.01,113.0,Informational,"Video, Related Searches, AI Overview","0.52,0.52,0.44,0.05,0.10,0.20,0.10,0.16,0.10,0.16,0.16,0.36",90.0,,,,,,,,,,,,,,,,,,,,,,,,,no_match
uk,34000 take home pay,,,(non-clustered),,,170.0,12.0,0.0,0.0,116.0,Informational,"Related Searches, AI Overview","0.65,0.53,0.53,0.65,0.53,0.65,0.65,0.65,0.53,0.80,0.65,0.80",90.0,,,,,,,,,,,,,,,,,,,,,,,,/take-home,tool_match
uk,34k after tax uk,,,(non-clustered),,,720.0,14.0,0.0,0.0,107.0,Informational,"Video, People Also Ask, Related Searches, AI Overview","0.59,0.88,0.72,1.00,0.88,1.00,0.88,0.88,0.59,0.88,0.88,0.88",90.0,,,,,,,,,,,,,,,,,,,,,,,,https://uknetpay.co.uk/salary/34000-after-tax,exact_match
uk,35k take home,,,(non-clustered),,,210.0,14.0,0.0,0.0,220000000.0,Informational,"Related Searches, AI Overview, Video, People Also Ask","0.53,0.65,0.65,0.81,0.81,0.65,0.81,0.65,0.53,0.81,0.65,0.81",90.0,,,,,,,,,,,,,,,,,,,,,,,,/take-home,tool_match
uk,4 on 4 off shift pattern pay calculator,,,(non-clustered),,,170.0,14.0,0.85,0.05,397000000.0,Informational,"Site Links, People Also Ask, Related Searches, AI Overview","0.28,0.23,0.28,0.28,0.28,0.28,0.35,0.35,0.23,0.23,0.18,0.15",20.0,,,,,,,,,,,,,,,,,,,,,,,,/take-home,tool_match
uk,40 k after tax,,,(non-clustered),,,90.0,14.0,0.69,0.0,238000.0,Informational,"Video, People Also Ask, Related Searches, Discussions And Forums, AI Overview","0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.01",90.0,,,,,,,,,,,,,,,,,,,,,,,,,no_match
uk,40000 after tax uk,,,(non-clustered),,,2900.0,15.0,0.69,0.01,107.0,Informational,"Video, People Also Ask, Related Searches, AI Overview","0.53,0.53,0.53,0.53,0.53,0.66,0.66,0.66,0.53,0.66,0.53,0.53",90.0,,,,,,,,,,,,,,,,,,,,,,,,https://uknetpay.co.uk/salary/40000-after-tax,exact_match
uk,40000 take home,,,(non-clustered),,,110.0,13.0,0.0,0.0,326000000.0,Informational,"Related Searches, AI Overview, Video","0.09,0.11,0.11,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.07,0.07",90.0,,,,,,,,,,,,,,,,,,,,,,,,/take-home,tool_match
uk,40k a year after tax,,,(non-clustered),,,880.0,14.0,0.65,0.01,39000000.0,Informational,"Site Links, Video, People Also Ask, Related Searches, Discussions And Forums, AI Overview","0.88,0.88,0.88,1.00,0.88,0.88,1.00,0.88,0.72,1.00,0.88,1.00",20.0,,,,,,,,,,,,,,,,,,,,,,,,,no_match
uk,44k take home pay,,,(non-clustered),,,110.0,14.0,0.0,0.0,7950000.0,Informational,"AI Overview, Video, People Also Ask, Related Searches","0.64,0.52,0.64,0.82,0.82,0.82,0.64,1.00,0.52,0.64,0.64,1.00",90.0,,,,,,,,,,,,,,,,,,,,,,,,/take-home,tool_match
uk,45000 salary after taxes,,,(non-clustered),,,140.0,14.0,0.0,0.0,107.0,Informational,"AI Overview, Video, People Also Ask, Related Searches","0.42,0.52,1.00,0.33,0.52,0.80,0.80,0.66,0.52,0.80,0.66,0.80",90.0,,,,,,,,,,,,,,,,,,,,,,,,,no_match
uk,45000 take home pay,,,(non-clustered),,,880.0,12.0,0.0,0.0,100.0,Informational,"Video, Related Searches, AI Overview","0.45,0.76,0.55,0.67,0.55,0.76,0.45,0.45,0.67,0.45,0.45,0.36",90.0,,,,,,,,,,,,,,,,,,,,,,,,/take-home,tool_match
uk,45k salary after tax,,,(non-clustered),,,390.0,11.0,0.0,0.0,17700000.0,Informational,"Video, Related Searches, AI Overview","0.66,0.81,0.66,0.81,0.66,0.81,0.66,0.66,0.54,0.81,0.66,0.66",90.0,,,,,,,,,,,,,,,,,,,,,,,,,no_match
uk,45k take home pay,,,(non-clustered),,,720.0,14.0,0.0,0.0,25900000.0,Informational,"Related Searches, AI Overview","0.67,0.81,0.67,0.81,0.81,1.00,1.00,0.81,0.81,1.00,1.00,1.00",90.0,,,,,,,,,,,,,,,,,,,,,,,,/take-home,tool_match
uk,46k take home pay,,,(non-clustered),,,110.0,14.0,0.0,0.0,8790000.0,Informational,"Video, Related Searches, AI Overview","0.50,1.00,0.78,0.78,0.64,0.78,0.78,1.00,0.64,0.78,0.78,0.78",90.0,,,,,,,,,,,,,,,,,,,,,,,,/take-home,tool_match
uk,50000 take home pay,,,(non-clustered),,,880.0,16.0,0.61,0.01,431000000.0,Informational,"Video, People Also Ask, Related Searches, AI Overview","0.55,0.62,0.62,0.45,0.45,0.45,0.45,0.45,0.30,0.62,0.62,0.45",90.0,,,,,,,,,,,,,,,,,,,,,,,,/take-home,tool_match
uk,50k a month after tax,,,(non-clustered),,,90.0,14.0,0.0,0.01,109.0,Informational,"People Also Ask, Related Searches, Discussions And Forums, AI Overview, Video","0.64,0.78,0.64,0.78,0.64,0.64,0.50,0.50,0.50,1.00,0.64,0.78",90.0,,,,,,,,,,,,,,,,,,,,,,,,,no_match
uk,50k take home pay,,,(non-clustered),,,1000.0,14.0,0.0,0.0,172000000.0,Informational,"AI Overview, Video, Related Searches","0.67,0.76,0.76,0.76,0.55,0.67,0.76,0.67,0.45,0.67,0.55,0.45",90.0,,,,,,,,,,,,,,,,,,,,,,,,/take-home,tool_match
uk,60000 after tax per month,,,(non-clustered),,,140.0,12.0,0.0,0.0,116000000.0,Informational,"AI Overview, Video, Related Searches","0.65,0.80,0.34,0.53,0.42,0.53,0.53,0.80,0.15,1.00,0.80,0.80",90.0,,,,,,,,,,,,,,,,,,,,,,,,https://uknetpay.co.uk/salary/60000-after-tax,exact_match
uk,60000 after tax uk,,,(non-clustered),,,2900.0,14.0,0.67,0.01,104.0,Informational,"Video, People Also Ask, Related Searches, AI Overview","0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.66,1.00,0.66,0.66",90.0,,,,,,,,,,,,,,,,,,,,,,,,https://uknetpay.co.uk/salary/60000-after-tax,exact_match
uk,60000 take home pay,,,(non-clustered),,,590.0,14.0,0.0,0.0,108.0,Informational,"Video, People Also Ask, Related Searches, AI Overview","0.67,0.67,0.44,0.67,0.67,0.54,0.67,0.67,0.19,0.81,0.67,0.67",90.0,,,,,,,,,,,,,,,,,,,,,,,,/take-home,tool_match
uk,60k dollars after tax,,,(non-clustered),,,320.0,0.0,0.0,0.0,0.0,,,"1.00,0.00,0.00",0.0,,,,,,,,,,,,,,,,,,,,,,,,,no_match
uk,60k take home pay,,,(non-clustered),,,480.0,14.0,0.0,0.0,111.0,Informational,"Video, People Also Ask, Related Searches, AI Overview","0.48,0.48,0.48,0.59,0.39,0.39,0.59,0.59,0.39,0.48,0.48,0.59",90.0,,,,,,,,,,,,,,,,,,,,,,,,/take-home,tool_match
uk,70 000 after tax,,,(non-clustered),,,590.0,9.0,0.69,0.0,114.0,Informational,"AI Overview, Site Links, Video, Related Searches","0.31,0.16,0.11,0.31,0.31,0.16,0.37,0.37,0.37,0.20,0.20,0.25",20.0,,,,,,,,,,,,,,,,,,,,,,,,,no_match
uk,70 000 after tax uk,,,(non-clustered),,,720.0,9.0,0.61,0.01,75700000.0,Informational,"Site Links, Video, Related Searches, AI Overview","0.45,0.20,0.16,0.24,0.36,0.81,0.24,0.45,0.16,0.16,0.55,0.55",20.0,,,,,,,,,,,,,,,,,,,,,,,,,no_match
uk,70000 gbp after tax,,,(non-clustered),,,110.0,14.0,0.0,0.01,875000.0,Informational,"Video, Featured Snippet, People Also Ask, Related Searches","0.64,0.64,0.64,0.82,0.82,0.52,0.82,0.64,0.41,0.52,0.52,0.52",80.0,,,,,,,,,,,,,,,,,,,,,,,,,no_match
uk,90 000 after tax uk,,,(non-clustered),,,110.0,14.0,0.58,0.01,100.0,Informational,"Video, People Also Ask, Related Searches, AI Overview","0.26,1.00,1.00,0.19,0.26,0.26,0.34,0.26,0.26,0.34,0.19,0.15",90.0,,,,,,,,,,,,,,,,,,,,,,,,,no_match
uk,90000 take home pay uk,,,(non-clustered),,,90.0,14.0,0.0,0.01,42700000.0,Informational,"People Also Ask, Related Searches, AI Overview, Video","0.23,0.09,0.14,0.52,0.52,0.52,1.00,0.66,0.42,0.66,0.42,0.33",90.0,,,,,,,,,,,,,,,,,,,,,,,,/take-home,tool_match
uk,back pay calculator nhs,,,(non-clustered),,,110.0,14.0,0.0,0.0,109.0,Informational,"Related Searches, Site Links, People Also Ask","0.01,0.03,0.10,0.24,0.36,0.01,0.01,0.02,0.01,0.01,0.01,0.01",20.0,,,,,,,,,,,,,,,,,,,,,,,,/take-home,tool_match
uk,backpay calculator,,,(non-clustered),,,170.0,10.0,0.0,0.01,3250000.0,Informational,"Site Links, Related Searches","0.11,0.23,0.23,0.44,1.00,0.28,0.18,0.23,0.11,0.11,0.11,0.08",20.0,,,,,,,,,,,,,,,,,,,,,,,,/take-home,tool_match
uk,car salary sacrifice scheme calculator,,,(non-clustered),,,320.0,7.0,0.93,0.76,822000.0,Informational,"Video, Related Searches, AI Overview","0.10,0.10,0.55,0.55,0.16,0.13,0.08,0.10,0.06,0.36,0.10,0.10",90.0,,,,,,,,,,,,,,,,,,,,,,,,/salary-sacrifice/electric-car,tool_match
uk,contract pay calculator,,,(non-clustered),,,170.0,13.0,1.52,0.17,177000000.0,Informational,Related Searches,"0.53,0.35,0.28,0.53,0.43,0.35,0.35,0.53,0.35,0.53,0.53,0.66",90.0,,,,,,,,,,,,,,,,,,,,,,,,/take-home,tool_match
uk,do you get taxed more on a second job,,,(non-clustered),,,480.0,14.0,0.0,0.01,119.0,"Informational, Commercial","AI Overview, Site Links, Video, People Also Ask, Related Searches","0.66,0.81,0.81,0.81,0.81,1.00,1.00,0.54,0.23,0.54,0.44,0.44",20.0,,,,,,,,,,,,,,,,,,,,,,,,/two-jobs,tool_match
uk,glasgow minimum wage,,,(non-clustered),,,90.0,14.0,1.19,0.03,2870000.0,Informational,"People Also Ask, Related Searches, AI Overview, Video","0.28,0.53,0.12,0.23,0.17,0.28,0.17,0.17,0.10,0.12,0.17,0.17",90.0,,,,,,,,,,,,,,,,,,,,,,,,,no_match
uk,hours overtime calculator,,,(non-clustered),,,110.0,12.0,0.0,0.03,66500000.0,Informational,"Video, Related Searches","0.11,0.00,0.07,0.42,0.53,1.00,0.53,0.53,0.53,0.65,0.65,0.80",90.0,,,,,,,,,,,,,,,,,,,,,,,,,no_match
uk,how do you work out a salary pro rata,,,(non-clustered),,,480.0,14.0,1.15,0.03,103.0,Informational,"AI Overview, Site Links, Video, People Also Ask, Related Searches, Discussions And Forums","0.08,0.07,0.04,0.03,0.44,0.04,0.03,0.44,0.44,0.55,0.55,0.55",20.0,,,,,,,,,,,,,,,,,,,,,,,,/pro-rata,tool_match
uk,how do you work out hourly rate from yearly salary,,,(non-clustered),,,170.0,14.0,0.0,0.0,22100000.0,Informational,"Site Links, Video, People Also Ask, Related Searches, AI Overview","0.82,0.43,0.66,0.23,0.43,0.12,0.12,0.82,0.53,0.82,0.53,0.82",20.0,,,,,,,,,,,,,,,,,,,,,,,,/hourly,tool_match
uk,how much do apprentices get paid a month,,,(non-clustered),,,170.0,14.0,0.0,0.07,14900000.0,Informational,"People Also Ask, FAQ, Related Searches, Discussions And Forums, AI Overview, Video","0.43,0.53,0.53,0.43,0.65,0.81,0.65,0.53,0.43,0.43,0.34,0.28",90.0,,,,,,,,,,,,,,,,,,,,,,,,,no_match
uk,how much tax and ni will i pay on 30000,,,(non-clustered),,,140.0,22.0,0.0,0.05,132.0,Informational,"People Also Ask, Related Searches, AI Overview, Video","0.53,0.43,0.43,0.53,0.34,0.43,0.21,0.09,0.09,0.12,0.09,0.15",90.0,,,,,,,,,,,,,,,,,,,,,,,,,no_match
uk,how much tax on second job,,,(non-clustered),,,320.0,14.0,0.0,0.01,497000000.0,"Informational, Commercial","Discussions And Forums, AI Overview, Site Links, Video, People Also Ask, Related Searches","0.82,1.00,0.82,1.00,0.82,0.82,0.82,0.82,0.66,0.82,0.66,0.66",20.0,,,,,,,,,,,,,,,,,,,,,,,,/two-jobs,tool_match
uk,how much tax should be paid on 30000,,,(non-clustered),,,90.0,14.0,0.61,0.08,150000000.0,Informational,"AI Overview, Video, People Also Ask, Related Searches","0.82,0.64,0.64,0.29,0.41,0.52,0.52,0.52,0.52,0.82,0.52,0.41",90.0,,,,,,,,,,,,,,,,,,,,,,,,,no_match
uk,how much tax would i pay on a second job,,,(non-clustered),,,140.0,14.0,0.0,0.02,308000000.0,"Informational, Commercial","People Also Ask, Related Searches, Discussions And Forums, AI Overview, Site Links, Video","0.65,0.53,0.34,0.53,0.42,0.34,0.19,0.65,0.53,0.80,0.65,0.65",20.0,,,,,,,,,,,,,,,,,,,,,,,,/two-jobs,tool_match
uk,how to figure out hourly wage from salary,,,(non-clustered),,,170.0,26.0,0.0,0.0,122000000.0,Informational,"Video, Featured Snippet, People Also Ask, Related Searches","0.19,1.00,0.80,0.53,0.53,0.53,0.53,1.00,0.34,0.65,0.65,0.80",80.0,,,,,,,,,,,,,,,,,,,,,,,,/hourly,tool_match
uk,isle of man tax calculator,,,(non-clustered),,,260.0,14.0,0.0,0.0,6430000.0,Commercial,"People Also Ask, Related Searches","0.65,0.81,0.81,0.65,1.00,0.81,0.65,0.65,0.81,0.65,0.65,0.53",90.0,,,,,,,,,,,,,,,,,,,,,,,,/take-home,tool_match
uk,london weighting calculator,,,(non-clustered),,,140.0,20.0,0.0,0.0,114.0,Informational,"Related Searches, AI Overview, Video, People Also Ask","0.28,0.23,0.28,0.23,0.18,0.35,0.28,0.18,0.11,0.15,0.15,0.18",90.0,,,,,,,,,,,,,,,,,,,,,,,,,no_match
uk,ltd company tax calculator,,,(non-clustered),,,1300.0,21.0,1.68,0.26,143.0,Informational,"Related Searches, Video, FAQ","0.54,0.66,0.41,0.54,0.54,0.54,0.54,0.54,0.41,0.66,0.41,0.36",90.0,,,,,,,,,,,,,,,,,,,,,,,,/take-home,tool_match
uk,nhs salary calculator,,,(non-clustered),,,4400.0,14.0,0.0,0.0,101.0,Informational,"Related Searches, Video","0.36,0.54,0.36,0.29,0.23,0.29,0.36,0.36,0.29,0.54,0.66,0.44",90.0,,,,,,,,,,,,,,,,,,,,,,,,/take-home,tool_match
uk,nhs take home pay calculator,,,(non-clustered),,,6600.0,24.0,0.0,0.0,102.0,Informational,"Video, People Also Ask, Related Searches","0.54,0.81,0.54,0.66,0.66,0.66,0.54,0.54,0.36,0.54,1.00,0.66",90.0,,,,,,,,,,,,,,,,,,,,,,,,/take-home,tool_match
uk,overtime pay taxable,,,(non-clustered),,,210.0,14.0,0.0,0.0,8330000.0,Informational,"Video, People Also Ask, FAQ, Related Searches, AI Overview, Image Pack, Site Links","0.08,0.10,0.06,0.04,0.06,1.00,0.08,0.06,0.05,0.05,0.05,0.06",20.0,,,,,,,,,,,,,,,,,,,,,,,,,no_match
uk,part time salary,,,(non-clustered),,,210.0,14.0,0.11,0.03,835000000.0,Informational,"Video, People Also Ask, Related Searches, AI Overview","0.53,0.53,0.53,0.53,0.53,0.66,0.66,0.53,0.35,0.66,0.43,0.53",90.0,,,,,,,,,,,,,,,,,,,,,,,,,no_match
uk,paystream umbrella calculator,,,(non-clustered),,,210.0,14.0,1.58,0.31,80.0,"Informational, Transactional","Site Links, People Also Ask, Related Searches","0.23,0.35,0.44,0.44,0.44,0.44,0.28,0.23,0.35,0.35,0.35,0.18",20.0,,,,,,,,,,,,,,,,,,,,,,,,,no_match
uk,pro rate calculator,,,(non-clustered),,,110.0,14.0,0.0,0.01,95.0,Informational,"Video, People Also Ask, Related Searches","0.00,0.18,0.14,0.35,0.18,0.43,0.22,0.10,0.43,0.81,0.66,0.10",90.0,,,,,,,,,,,,,,,,,,,,,,,,,no_match
uk,salary sacrifice calculator car scheme,,,(non-clustered),,,260.0,14.0,0.93,0.76,999000.0,Informational,"Video, Related Searches, Site Links","0.26,0.21,0.17,0.17,0.14,0.26,0.11,0.14,0.07,0.11,0.11,0.14",20.0,,,,,,,,,,,,,,,,,,,,,,,,/salary-sacrifice/electric-car,tool_match
