Keyword;Position;Search Volume;CPC;Url;Traffic (%);Traffic Cost (%);Competition;Number of Results
uk paycheck calculator;84;1600;1.44;https://uknetpay.co.uk/;0.00;0.00;0.33;108
hourly salary calculator uk;57;1600;0.00;https://uknetpay.co.uk/hourly;0.00;0.00;0.33;99
28000 after tax uk;49;1600;0.28;https://uknetpay.co.uk/salary/27000-after-tax;0.00;0.00;0.33;111
hourly rate uk calculator;61;1300;0.00;https://uknetpay.co.uk/hourly;0.00;0.00;0.33;102
hourly rate;82;1300;0.00;https://uknetpay.co.uk/hourly;0.00;0.00;0.33;126
31k after tax;45;1300;0.00;https://uknetpay.co.uk/salary/31000-after-tax;0.00;0.00;0.33;119
wage uk calculator;76;1300;0.80;https://www.uknetpay.co.uk/;0.00;0.00;0.01;106
wage uk calculator;42;1300;0.80;https://www.uknetpay.co.uk/;0.00;0.00;0.01;106
25k after tax uk;61;1300;0.00;https://uknetpay.co.uk/salary/25500-after-tax;0.00;0.00;0.33;112
tax thresholds 2025/26;92;1300;0.43;https://uknetpay.co.uk/insights/uk-tax-bands-explained-2026;0.00;0.00;0.03;449000
tax-free childcare calculator;59;1300;0.65;https://uknetpay.co.uk/childcare;0.00;0.00;0.02;95
80000 after tax;68;1300;0.01;https://uknetpay.co.uk/salary/86000-after-tax;0.00;0.00;0.33;108
tax take home calculator;76;1300;0.66;https://www.uknetpay.co.uk/take-home?salary=137500;0.00;0.00;0.02;112
payslip calculator;53;1300;1.67;https://www.uknetpay.co.uk/;0.00;0.00;0.14;113
pay increase calculator;62;1300;0.00;https://uknetpay.co.uk/pay-rise;0.00;0.00;0.33;95
teacher take home pay calculator;91;1300;0.00;https://www.uknetpay.co.uk/;0.00;0.00;0.00;102
teacher take home pay calculator;88;1300;0.00;https://www.uknetpay.co.uk/;0.00;0.00;0.00;102
wage increase calculator;60;1300;0.00;https://www.uknetpay.co.uk/pay-rise;0.00;0.00;0.00;89
childcare costs;85;1300;0.82;https://uknetpay.co.uk/childcare;0.00;0.00;0.14;133
childcare costs;74;1300;0.82;https://uknetpay.co.uk/childcare;0.00;0.00;0.14;133
calculator for salary increase;67;1300;0.00;https://uknetpay.co.uk/pay-rise;0.00;0.00;0.33;98
how to work out pro rata payments;90;1300;1.33;https://www.uknetpay.co.uk/pro-rata;0.00;0.00;0.04;113
personal tax allowance 2026;92;1300;0.99;https://uknetpay.co.uk/insights/income-tax-bands-2026-27;0.00;0.00;0.03;129
personal tax allowance 2026;80;1300;0.99;https://uknetpay.co.uk/insights/uk-tax-bands-explained-2026;0.00;0.00;0.03;129
take home salary .;54;1000;0.00;https://www.uknetpay.co.uk/;0.00;0.00;0.00;121
take home salary .;49;1000;0.00;https://www.uknetpay.co.uk/;0.00;0.00;0.00;121
pay calculator uk hourly;64;1000;0.00;https://uknetpay.co.uk/hourly;0.00;0.00;0.33;98
net paycheck calculator;85;1000;0.49;https://www.uknetpay.co.uk/;0.00;0.00;0.00;116
work out pro rata salary;85;1000;1.87;https://uknetpay.co.uk/pro-rata;0.00;0.00;0.05;102
net to gross calculator uk;76;1000;0.76;https://uknetpay.co.uk/reverse;0.00;0.00;0.01;105
hourly pay rate calculator uk;59;1000;0.00;https://www.uknetpay.co.uk/hourly;0.00;0.00;0.33;109
pay rise calculator uk;70;1000;0.00;https://uknetpay.co.uk/pay-rise;0.00;0.00;0.33;99
calculate yearly pay;71;1000;0.00;https://www.uknetpay.co.uk/;0.00;0.00;0.01;180000000
calculate pro rata salary;75;1000;2.39;https://uknetpay.co.uk/pro-rata;0.00;0.00;0.02;105
car salary sacrifice calculator;91;1000;0.84;https://uknetpay.co.uk/salary-sacrifice/electric-car;0.00;0.00;0.58;113
takehome salary;92;1000;0.00;https://www.uknetpay.co.uk/take-home?salary=137500;0.00;0.00;0.00;123
childcare tax calculator;55;1000;0.00;https://uknetpay.co.uk/childcare;0.00;0.00;0.01;97
take home.pay;77;1000;0.92;https://www.uknetpay.co.uk/take-home?salary=137500;0.00;0.00;0.00;102
take home.pay;66;1000;0.92;https://www.uknetpay.co.uk/;0.00;0.00;0.00;102
pro rata salary calculator uk;66;1000;2.27;https://www.uknetpay.co.uk/pro-rata;0.00;0.00;0.03;104
27500 after tax;77;1000;0.25;https://uknetpay.co.uk/salary/295500-after-tax;0.00;0.00;0.33;107
27500 after tax;75;1000;0.25;https://uknetpay.co.uk/salary/177500-after-tax;0.00;0.00;0.33;107
27500 after tax;73;1000;0.25;https://uknetpay.co.uk/salary/260500-after-tax;0.00;0.00;0.33;107
27500 after tax;71;1000;0.25;https://uknetpay.co.uk/salary/267500-after-tax;0.00;0.00;0.33;107
27500 after tax;68;1000;0.25;https://uknetpay.co.uk/salary/27000-after-tax;0.00;0.00;0.33;107
27500 after tax;66;1000;0.25;https://uknetpay.co.uk/salary/275000-after-tax;0.00;0.00;0.33;107
27500 after tax;50;1000;0.25;https://uknetpay.co.uk/salary/28500-after-tax;0.00;0.00;0.33;107
27500 after tax;35;1000;0.25;https://uknetpay.co.uk/salary/27500-after-tax;0.00;0.00;0.33;107
wage calculator hourly;74;1000;0.71;https://www.uknetpay.co.uk/hourly;0.00;0.00;0.01;104
uk take home pay;69;1000;0.81;https://www.uknetpay.co.uk/;0.00;0.00;0.00;2710000000
39k after tax;39;880;0.00;https://www.uknetpay.co.uk/salary/39000-after-tax;0.00;0.00;0.00;105
what does pro rata salary mean;94;880;5.22;https://www.uknetpay.co.uk/pro-rata;0.00;0.00;0.01;106
pay rise calculator;74;880;0.00;https://uknetpay.co.uk/pay-rise;0.00;0.00;0.33;98
uk gross to net salary calculator;73;880;0.83;https://uknetpay.co.uk/;0.00;0.00;0.33;104
tax calculator for take home pay;59;880;0.61;https://www.uknetpay.co.uk/;0.00;0.00;0.01;108
salary uk calculator;73;880;0.80;https://www.uknetpay.co.uk/;0.00;0.00;0.01;112
personal allowance 25 26;73;880;0.32;https://uknetpay.co.uk/insights/uk-tax-bands-explained-2026;0.00;0.00;0.33;130
scottish tax bands 26 27;81;880;0.00;https://uknetpay.co.uk/insights/scotland-vs-england-tax-2026;0.00;0.00;0.00;151
wage calculator uk per hour;63;880;0.00;https://uknetpay.co.uk/hourly;0.00;0.00;0.33;104
wage calculator uk per hour;60;880;0.00;https://uknetpay.co.uk/hourly;0.00;0.00;0.33;104
uk net income calculator;74;880;0.83;https://uknetpay.co.uk/;0.00;0.00;0.33;109
pay raise calculator;60;880;0.00;https://www.uknetpay.co.uk/pay-rise;0.00;0.00;0.33;85
26500 after tax;78;880;0.00;https://uknetpay.co.uk/salary/215000-after-tax;0.00;0.00;0.33;118
26500 after tax;75;880;0.00;https://uknetpay.co.uk/salary/276500-after-tax;0.00;0.00;0.33;118
26500 after tax;70;880;0.00;https://uknetpay.co.uk/salary/226500-after-tax;0.00;0.00;0.33;118
26500 after tax;62;880;0.00;https://uknetpay.co.uk/salary/260000-after-tax;0.00;0.00;0.33;118
26500 after tax;54;880;0.00;https://uknetpay.co.uk/salary/265000-after-tax;0.00;0.00;0.33;118
26500 after tax;41;880;0.00;https://uknetpay.co.uk/salary/276500-after-tax;0.00;0.00;0.33;118
26500 after tax;32;880;0.00;https://uknetpay.co.uk/salary/260500-after-tax;0.00;0.00;0.33;118
ir35 inside calculator;78;880;0.78;https://uknetpay.co.uk/ir35;0.00;0.00;0.15;103
calculate post-tax income;64;880;0.61;https://www.uknetpay.co.uk/;0.00;0.00;0.01;121
pay tax calc;59;880;0.83;https://www.uknetpay.co.uk/;0.00;0.00;0.05;107
pay increase calculator uk;62;880;0.00;https://www.uknetpay.co.uk/pay-rise;0.00;0.00;0.00;96
how much will i get paid after tax;88;880;1.12;https://uknetpay.co.uk/;0.00;0.00;0.01;118
after tax uk calculator;86;880;0.85;https://uknetpay.co.uk/take-home;0.00;0.00;0.02;118
take-home income;42;720;0.92;https://www.uknetpay.co.uk/;0.00;0.00;0.00;127
pro rata calc;65;720;2.46;https://www.uknetpay.co.uk/pro-rata;0.00;0.00;0.03;100
pro rata calc;64;720;2.46;https://www.uknetpay.co.uk/pro-rata;0.00;0.00;0.03;100
work out pro rata pay;86;720;1.87;https://www.uknetpay.co.uk/pro-rata;0.00;0.00;0.05;105
what does pro rata mean salary;93;720;5.22;https://www.uknetpay.co.uk/pro-rata;0.00;0.00;0.01;104
gross to net pay calculator uk;83;720;0.60;https://www.uknetpay.co.uk/;0.00;0.00;0.01;109
weekly wage calculator;60;720;1.44;https://www.uknetpay.co.uk/;0.00;0.00;0.01;109
wages take home calculator;72;720;0.57;https://www.uknetpay.co.uk/;0.00;0.00;0.00;111
27k after tax uk;47;720;0.00;https://www.uknetpay.co.uk/salary/27000-after-tax;0.00;0.00;0.00;107
salary takehome;73;720;0.92;https://www.uknetpay.co.uk/;0.00;0.00;0.00;161
pro rata wage;76;720;3.21;https://www.uknetpay.co.uk/pro-rata;0.00;0.00;0.02;97
gross to net uk;69;720;0.00;https://uknetpay.co.uk/;0.00;0.00;0.33;109
52k after tax;45;720;0.00;https://uknetpay.co.uk/salary/52500-after-tax;0.00;0.00;0.33;112
national insurance thresholds 2025/26;93;720;0.00;https://uknetpay.co.uk/insights/uk-tax-bands-explained-2026;0.00;0.00;0.33;311000
salary uk;89;720;0.97;https://www.uknetpay.co.uk/;0.00;0.00;0.01;137
net earnings calculator;55;720;0.71;https://www.uknetpay.co.uk/;0.00;0.00;0.00;122
pro rata calculator uk;61;720;1.28;https://www.uknetpay.co.uk/pro-rata;0.00;0.00;0.04;103
what is my hourly rate;88;720;0.00;https://uknetpay.co.uk/hourly;0.00;0.00;0.33;110
reverse tax calculator;62;720;0.00;https://uknetpay.co.uk/reverse;0.00;0.00;0.00;84
reverse tax calculator;59;720;0.00;https://uknetpay.co.uk/reverse;0.00;0.00;0.00;84
ev salary sacrifice calculator;73;720;0.88;https://uknetpay.co.uk/salary-sacrifice/electric-car;0.00;0.00;0.58;119
net salary uk;77;720;0.00;https://uknetpay.co.uk/;0.00;0.00;0.33;116
gross net calculator uk;83;720;1.70;https://uknetpay.co.uk/;0.00;0.00;0.01;106
33k after tax uk;34;720;0.00;https://uknetpay.co.uk/salary/33000-after-tax;0.00;0.00;0.00;102
salary increase calculator uk;63;720;0.00;https://www.uknetpay.co.uk/pay-rise;0.00;0.00;0.00;42000000
how to work out pro rata pay;82;720;1.33;https://uknetpay.co.uk/pro-rata;0.00;0.00;0.04;105
ni thresholds 25 26;87;720;1.15;https://uknetpay.co.uk/insights/uk-tax-bands-explained-2026;0.00;0.00;0.01;111
ni thresholds 25 26;74;720;1.15;https://uknetpay.co.uk/insights/national-insurance-2026-explained;0.00;0.00;0.01;111
60k take home pay uk;71;720;0.00;https://uknetpay.co.uk/salary/60000-after-tax;0.00;0.00;0.33;106
wage rise calculator;65;720;0.00;https://www.uknetpay.co.uk/pay-rise;0.00;0.00;0.00;97
how much pay will i take home;78;720;0.65;https://www.uknetpay.co.uk/;0.00;0.00;0.02;107
tax refunds;56;720;1.51;https://www.uknetpay.co.uk/insights/tax-refund-uk-guide;0.00;0.00;0.23;130
home take salary;96;720;0.50;https://uknetpay.co.uk/take-home;0.00;0.00;0.33;123
90000 after tax uk;52;720;0.00;https://uknetpay.co.uk/salary/90500-after-tax;0.00;0.00;0.33;118
uk.salary calculator;69;720;0.80;https://www.uknetpay.co.uk/;0.00;0.00;0.01;108
bring home after taxes;83;720;0.74;https://uknetpay.co.uk/take-home;0.00;0.00;0.01;117
yearly wage;26;720;0.00;https://www.uknetpay.co.uk/;0.00;0.00;0.00;131
net wages calculator uk;47;720;0.60;https://www.uknetpay.co.uk/;0.00;0.00;0.01;113
uk take home salary calculator;76;720;0.52;https://www.uknetpay.co.uk/;0.00;0.00;0.01;106000000
uk take home salary calculator;63;720;0.52;https://www.uknetpay.co.uk/;0.00;0.00;0.01;106000000
uk pay after tax;56;720;0.55;https://uknetpay.co.uk/;0.00;0.00;0.33;126
salary calculator hourly uk;65;590;0.00;https://uknetpay.co.uk/hourly;0.00;0.00;0.33;99
salary calculator hourly uk;59;590;0.00;https://uknetpay.co.uk/hourly;0.00;0.00;0.33;99
part time pay calculator;71;590;2.16;https://uknetpay.co.uk/pro-rata;0.00;0.00;0.01;102
uk income calculator;87;590;0.00;https://uknetpay.co.uk/;0.00;0.00;0.01;112
what are the tax bands in the uk;95;590;0.35;https://uknetpay.co.uk/insights/uk-tax-bands-explained-2026;0.00;0.00;0.10;155
annual salary calculator uk;71;590;0.73;https://www.uknetpay.co.uk/;0.00;0.00;0.02;63300000
annual salary calculator uk;65;590;0.73;https://www.uknetpay.co.uk/;0.00;0.00;0.02;63300000
calculate annual salary;88;590;0.97;https://uknetpay.co.uk/;0.00;0.00;0.01;115
salary and bonus calculator;70;590;0.00;https://www.uknetpay.co.uk/;0.00;0.00;0.00;109
take home uk pay;75;590;0.81;https://www.uknetpay.co.uk/;0.00;0.00;0.00;121
salary tax calculator uk 2025;93;590;0.00;https://www.uknetpay.co.uk/;0.00;0.00;0.01;110
work out my pay;53;590;0.84;https://www.uknetpay.co.uk/;0.00;0.00;0.02;114
work out my pay;49;590;0.84;https://www.uknetpay.co.uk/;0.00;0.00;0.02;114
calculate net pay uk;88;590;0.60;https://uknetpay.co.uk/;0.00;0.00;0.01;114
pro rata income;76;590;3.21;https://uknetpay.co.uk/pro-rata;0.00;0.00;0.02;102
what does pro rata mean in salary;98;590;5.22;https://www.uknetpay.co.uk/pro-rata;0.00;0.00;0.01;107
take home salary in uk;82;590;0.81;https://www.uknetpay.co.uk/;0.00;0.00;0.00;125
take home salary in uk;80;590;0.81;https://www.uknetpay.co.uk/;0.00;0.00;0.00;125
hmrc take home pay calculator;55;590;0.74;https://www.uknetpay.co.uk/;0.00;0.00;0.01;109
monthly income calculator uk;79;590;0.67;https://www.uknetpay.co.uk/;0.00;0.00;0.04;112
23k after tax;47;590;0.00;https://uknetpay.co.uk/salary/233000-after-tax;0.00;0.00;0.33;115
23k after tax;31;590;0.00;https://uknetpay.co.uk/salary/23000-after-tax;0.00;0.00;0.33;115
thesalarycalculator uk;51;590;0.00;https://www.uknetpay.co.uk/;0.00;0.00;0.00;79
thesalarycalculator uk;44;590;0.00;https://www.uknetpay.co.uk/;0.00;0.00;0.00;79
net from gross salary;86;590;0.00;https://www.uknetpay.co.uk/;0.00;0.00;0.00;112
gross to net salary;89;590;0.00;https://www.uknetpay.co.uk/;0.00;0.00;0.00;119
post tax calculator uk;51;590;0.69;https://www.uknetpay.co.uk/;0.00;0.00;0.03;112
post tax calculator uk;50;590;0.69;https://www.uknetpay.co.uk/;0.00;0.00;0.03;112
salary take home pay uk;49;590;0.81;https://www.uknetpay.co.uk/;0.00;0.00;0.00;125
56000 after tax;56;590;0.00;https://uknetpay.co.uk/salary/56500-after-tax;0.00;0.00;0.33;118
salary converter uk;79;590;0.00;https://uknetpay.co.uk/reverse;0.00;0.00;0.01;100
72000 after tax;42;480;0.00;https://uknetpay.co.uk/salary/72000-after-tax;0.00;0.00;0.33;111
uk calculate take home pay;82;480;0.85;https://uknetpay.co.uk/take-home;0.00;0.00;0.01;118
44000 after tax uk;37;480;0.00;https://uknetpay.co.uk/salary/44000-after-tax;0.00;0.00;0.33;111
salary raise calculator;71;480;0.00;https://uknetpay.co.uk/pay-rise;0.00;0.00;0.33;81
salary raise calculator;68;480;0.00;https://uknetpay.co.uk/pay-rise;0.00;0.00;0.33;81
how to calculate pro rata salary;95;480;1.24;https://www.uknetpay.co.uk/pro-rata;0.00;0.00;0.04;108
salary calculator hourly rate uk;65;480;0.00;https://uknetpay.co.uk/hourly;0.00;0.00;0.33;99
pay as you earn tax calculator;71;480;0.96;https://www.uknetpay.co.uk/;0.00;0.00;0.04;126
hourly rate uk;79;480;0.00;https://www.uknetpay.co.uk/hourly;0.00;0.00;0.01;131
take home pay calculato;31;480;0.57;https://www.uknetpay.co.uk/;0.00;0.00;0.00;118
take home pay calculato;24;480;0.57;https://www.uknetpay.co.uk/;0.00;0.00;0.00;118
salary sacrifice calculator car;87;480;0.84;https://uknetpay.co.uk/salary-sacrifice/electric-car;0.00;0.00;0.58;109
how much maternity pay;90;480;0.35;https://www.uknetpay.co.uk/maternity;0.00;0.00;0.03;190000000
25500 after tax;35;480;0.00;https://uknetpay.co.uk/salary/25500-after-tax;0.00;0.00;0.33;109
25500 after tax;28;480;0.00;https://uknetpay.co.uk/salary/25500-after-tax;0.00;0.00;0.33;109
net salary to gross salary calculator;79;480;0.00;https://www.uknetpay.co.uk/;0.00;0.00;0.01;98
monthly take home salary calculator;52;480;0.55;https://www.uknetpay.co.uk/;0.00;0.00;0.02;115
wages after tax uk;51;480;0.55;https://www.uknetpay.co.uk/;0.00;0.00;0.00;124
compare two salaries;61;480;5.29;https://uknetpay.co.uk/compare;0.00;0.00;0.02;92
compare two salaries;60;480;5.29;https://uknetpay.co.uk/compare;0.00;0.00;0.02;92
monthly wage calculator uk;87;480;0.67;https://www.uknetpay.co.uk/;0.00;0.00;0.04;112
85k after tax;56;480;0.00;https://uknetpay.co.uk/salary/85500-after-tax;0.00;0.00;0.33;118
annual wage calculator uk;74;480;0.73;https://www.uknetpay.co.uk/;0.00;0.00;0.02;103
uk salary calculator hourly;65;480;0.73;https://www.uknetpay.co.uk/hourly;0.00;0.00;0.01;99
net to gross salary calculator uk;90;480;0.60;https://www.uknetpay.co.uk/reverse;0.00;0.00;0.01;106
net to gross salary calculator uk;72;480;0.60;https://www.uknetpay.co.uk/;0.00;0.00;0.01;106
uk income tax bands 2025 26;88;480;0.00;https://uknetpay.co.uk/insights/uk-tax-bands-explained-2026;0.00;0.00;0.33;142
uk tax thresholds 2026;97;480;0.25;https://uknetpay.co.uk/insights/income-tax-bands-2026-27;0.00;0.00;0.02;131
uk tax thresholds 2026;89;480;0.25;https://uknetpay.co.uk/insights/uk-tax-bands-explained-2026;0.00;0.00;0.02;131
weekly take home pay calculator;98;480;0.98;https://uknetpay.co.uk/;0.00;0.00;0.01;114
uk monthly wage calculator;65;480;0.86;https://uknetpay.co.uk/;0.00;0.00;0.02;109
work out my salary;53;480;0.84;https://www.uknetpay.co.uk/;0.00;0.00;0.02;114
compare salaries;79;480;1.96;https://uknetpay.co.uk/compare;0.00;0.00;0.12;111
net income uk;49;480;0.00;https://www.uknetpay.co.uk/;0.00;0.00;0.00;126
110000 after tax;66;480;0.00;https://uknetpay.co.uk/salary/110500-after-tax;0.00;0.00;0.33;105
110000 after tax;62;480;0.00;https://uknetpay.co.uk/salary/11000-after-tax;0.00;0.00;0.33;105
110000 after tax;48;480;0.00;https://uknetpay.co.uk/salary/109000-after-tax;0.00;0.00;0.33;105
daycare cost;38;480;0.82;https://uknetpay.co.uk/childcare;0.00;0.00;0.14;132
net salary england;48;480;0.00;https://www.uknetpay.co.uk/;0.00;0.00;0.00;120
tax bands hmrc;47;480;0.59;https://uknetpay.co.uk/insights/uk-tax-bands-explained-2026;0.00;0.00;0.02;131
tax percentage scotland;92;480;0.87;https://uknetpay.co.uk/insights/scottish-income-tax-bands-2026-27;0.00;0.00;0.01;124
term time only salary calculator uk;78;480;0.00;https://www.uknetpay.co.uk/;0.00;0.00;0.00;100
paycalculator;81;480;1.40;https://uknetpay.co.uk/;0.00;0.00;0.02;111
44k after tax uk;39;480;0.00;https://uknetpay.co.uk/salary/44000-after-tax;0.00;0.00;0.33;106
net pay uk;81;480;0.00;https://www.uknetpay.co.uk/;0.00;0.00;0.00;1900000
net pay uk;74;480;0.00;https://www.uknetpay.co.uk/;0.00;0.00;0.00;1900000
net monthly income calculator;55;480;0.00;https://www.uknetpay.co.uk/;0.00;0.00;0.01;120
hourly wage;76;480;1.65;https://uknetpay.co.uk/hourly;0.00;0.00;0.01;124
62000 after tax;48;480;0.00;https://uknetpay.co.uk/salary/62000-after-tax;0.00;0.00;0.33;108
gross income net income calculator;57;480;0.00;https://www.uknetpay.co.uk/;0.00;0.00;0.01;111
gross pay calculator uk;69;390;0.67;https://www.uknetpay.co.uk/;0.00;0.00;0.01;108
tax salary calculation;86;390;0.62;https://www.uknetpay.co.uk/;0.00;0.00;0.01;131
netsalarycalucaltor;31;390;0.00;https://uknetpay.co.uk/about;0.00;0.00;0.00;153
income salary calculator;59;390;0.00;https://www.uknetpay.co.uk/;0.00;0.00;0.00;114
23000 after tax uk;84;390;0.00;https://uknetpay.co.uk/salary/232000-after-tax;0.00;0.00;0.33;120
23000 after tax uk;83;390;0.00;https://uknetpay.co.uk/salary/223000-after-tax;0.00;0.00;0.33;120
23000 after tax uk;52;390;0.00;https://uknetpay.co.uk/salary/23000-after-tax;0.00;0.00;0.33;120
23000 after tax uk;50;390;0.00;https://uknetpay.co.uk/salary/233000-after-tax;0.00;0.00;0.33;120
23000 after tax uk;31;390;0.00;https://uknetpay.co.uk/salary/23000-after-tax;0.00;0.00;0.33;120
calculate my wage;89;390;0.99;https://uknetpay.co.uk/;0.00;0.00;0.03;120
calculate my wage;75;390;0.99;https://uknetpay.co.uk/;0.00;0.00;0.03;120
wage calculator uk hourly;53;390;0.00;https://www.uknetpay.co.uk/hourly;0.00;0.00;0.00;102
net salary in uk;50;390;0.00;https://www.uknetpay.co.uk/;0.00;0.00;0.00;115
wage calculator hourly uk;58;390;0.00;https://uknetpay.co.uk/hourly;0.00;0.00;0.33;101
after tax salary calculator uk;83;390;0.33;https://uknetpay.co.uk/;0.00;0.00;0.01;111
gross to net salary calculator uk;79;390;0.83;https://uknetpay.co.uk/;0.00;0.00;0.33;108
wage calculator part time;71;390;0.00;https://www.uknetpay.co.uk/;0.00;0.00;0.00;100
tax brackets uk 2026;91;390;0.82;https://uknetpay.co.uk/insights/income-tax-bands-2026-27;0.00;0.00;0.01;131
tax brackets uk 2026;88;390;0.82;https://uknetpay.co.uk/insights/uk-tax-bands-explained-2026;0.00;0.00;0.01;131
salary change calculator;90;390;0.00;https://www.uknetpay.co.uk/;0.00;0.00;0.00;103
calculate take home;74;390;0.70;https://www.uknetpay.co.uk/;0.00;0.00;0.00;120
earnings after tax calculator uk;75;390;0.58;https://www.uknetpay.co.uk/;0.00;0.00;0.02;113
