keyword,volume,kd,cpc_usd,comp_density,intent,click_potential,serp_features
50k salary after tax uk,720.0,9.0,0.0,0.0,Informational,90.0,"Video, Related Searches, AI Overview"
take home pay 45000 salary,720.0,14.0,0.0,0.0,Informational,90.0,"Video, People Also Ask, Related Searches, AI Overview"
how to calculate hourly rate based on annual salary,720.0,21.0,0.0,0.0,Informational,90.0,"Video, Related Searches, AI Overview"
50k a year after tax,720.0,8.0,0.53,0.01,Informational,90.0,"Video, Related Searches, AI Overview"
60k salary after tax uk,590.0,16.0,0.0,0.0,Informational,20.0,"Site Links, Video, Related Searches, AI Overview"
30k a year after tax,590.0,11.0,0.71,0.01,Informational,90.0,"Video, Related Searches, AI Overview"
calculator pro rata,590.0,12.0,2.54,0.02,Commercial,90.0,"People Also Ask, Related Searches"
calculate hourly rate,590.0,23.0,0.0,0.0,Informational,90.0,"AI Overview, Video, People Also Ask, Related Searches"
bonus estimator after taxes,590.0,26.0,0.0,0.0,Informational,90.0,Related Searches
working out hourly rate from salary,590.0,20.0,0.0,0.0,Informational,20.0,"Site Links, Video, People Also Ask, Related Searches, Short Videos, AI Overview"
how to convert annual salary into hourly rate,590.0,21.0,0.0,0.0,Informational,90.0,"Video, People Also Ask, Related Searches, AI Overview"
how to calculate hourly rate from annual salary,590.0,14.0,0.0,0.0,Informational,90.0,"Video, Video Carousel, Related Searches, AI Overview"
60000 take home pay,590.0,14.0,0.0,0.0,Informational,90.0,"Video, People Also Ask, Related Searches, AI Overview"
70 000 after tax,590.0,9.0,0.69,0.0,Informational,20.0,"AI Overview, Site Links, Video, Related Searches"
22k after tax,590.0,14.0,0.0,0.0,Informational,90.0,"AI Overview, Video, People Also Ask, Related Searches"
how to work out hourly rate from annual salary,590.0,21.0,0.0,0.0,Informational,90.0,"Video, Related Searches, Short Videos, AI Overview"
bonus calculator after tax,590.0,29.0,1.3,0.0,Informational,90.0,Related Searches
salary sacrifice calc,590.0,28.0,0.93,0.09,Commercial,90.0,"Video, Related Searches"
contract calculator,590.0,25.0,1.26,0.03,Informational,75.0,"Video, Related Searches"
inside ir35 take home calculator,590.0,23.0,0.85,0.22,Informational,20.0,"Related Searches, Site Links, Video"
company tax calculator,480.0,27.0,1.8,0.4,Informational,90.0,"Video, People Also Ask, Related Searches"
60 000 after tax uk,480.0,9.0,0.67,0.01,Informational,20.0,"Video, Related Searches, AI Overview, Site Links"
how do you work out your hourly rate,480.0,28.0,0.0,0.01,Informational,90.0,"Video Carousel, Related Searches, Discussions And Forums, AI Overview, Video"
annual salary to hourly,480.0,21.0,0.0,0.0,Informational,90.0,"Video, Related Searches"
do you get taxed more on a second job,480.0,14.0,0.0,0.01,"Informational, Commercial",20.0,"AI Overview, Site Links, Video, People Also Ask, Related Searches"
how to calculate rate per hour with an annual salary,480.0,22.0,0.0,0.0,Informational,90.0,"Video, Video Carousel, Related Searches, AI Overview"
how to work out part time salary,480.0,16.0,0.0,0.01,Informational,90.0,"Video, Related Searches, AI Overview"
prorata calculator,480.0,13.0,2.54,0.02,Commercial,75.0,"Video, People Also Ask, Related Searches"
salary pro rata,480.0,22.0,0.0,0.01,Informational,90.0,"Related Searches, AI Overview, Video"
60k take home pay,480.0,14.0,0.0,0.0,Informational,90.0,"Video, People Also Ask, Related Searches, AI Overview"
how to calculate an hourly rate from annual salary,480.0,12.0,0.0,0.0,Informational,90.0,"Video, Related Searches, Discussions And Forums, AI Overview"
how do you work out a salary pro rata,480.0,14.0,1.15,0.03,Informational,20.0,"AI Overview, Site Links, Video, People Also Ask, Related Searches, Discussions And Forums"
35k salary after tax,480.0,17.0,0.0,0.0,Informational,90.0,"AI Overview, Video, People Also Ask, Related Searches"
how to calculate pro rata salary,480.0,20.0,2.19,0.03,Informational,90.0,"Video, Related Searches, AI Overview"
salarycalculator.co.uk,480.0,0.0,1.22,0.33,,0.0,
take home pay on 40000,390.0,13.0,0.28,0.01,Informational,20.0,"Video, People Also Ask, Related Searches, AI Overview, Site Links"
compare 2 salaries,390.0,19.0,5.29,0.02,Informational,90.0,"Video, People Also Ask, Related Searches"
day rate salary calculator,390.0,26.0,0.0,0.0,Informational,90.0,Related Searches
27k after tax monthly,390.0,6.0,0.0,0.0,Informational,90.0,"Video, Related Searches, AI Overview"
45k salary after tax,390.0,11.0,0.0,0.0,Informational,90.0,"Video, Related Searches, AI Overview"
how do i calculate my hourly rate from salary,390.0,16.0,0.0,0.0,Informational,90.0,"Video, Related Searches, Discussions And Forums, AI Overview"
contract salary calculator,390.0,16.0,1.52,0.17,Informational,90.0,Related Searches
uk company tax calculator,390.0,14.0,2.07,0.29,Informational,90.0,"Video, FAQ, Related Searches"
calculate salary contractor,390.0,13.0,1.52,0.17,Informational,90.0,"Related Searches, AI Overview, Video, People Also Ask"
take home pay for 25000,390.0,29.0,0.34,0.01,Informational,90.0,"Video, People Also Ask, Related Searches, AI Overview"
25k salary after tax,390.0,12.0,0.0,0.01,Informational,90.0,"Video, People Also Ask, Related Searches, AI Overview"
take home pay 30k,390.0,10.0,0.28,0.0,Informational,90.0,"Video, Related Searches, AI Overview"
corporate tax calculator,390.0,16.0,3.06,0.19,Informational,90.0,"FAQ, Related Searches, Video, People Also Ask"
take home pay 40k,320.0,16.0,0.0,0.0,Informational,20.0,"AI Overview, Site Links, Video, Related Searches"
60k dollars after tax,320.0,0.0,0.0,0.0,,0.0,
working out pro rata salary,320.0,13.0,2.1,0.03,Informational,90.0,"Video, People Also Ask, Related Searches, Discussions And Forums, AI Overview"
car salary sacrifice scheme calculator,320.0,7.0,0.93,0.76,Informational,90.0,"Video, Related Searches, AI Overview"
tax on 40000 salary uk,320.0,29.0,0.56,0.02,Informational,90.0,"Video, People Also Ask, Related Searches, AI Overview"
calculator for yearly salary,320.0,0.0,0.97,0.01,,0.0,
annual calculator salary,320.0,0.0,0.97,0.01,,0.0,
how much tax on second job,320.0,14.0,0.0,0.01,"Informational, Commercial",20.0,"Discussions And Forums, AI Overview, Site Links, Video, People Also Ask, Related Searches"
business calculator,320.0,16.0,3.58,0.76,Informational,75.0,"Video, Video Carousel, People Also Ask, Related Searches"
umbrella take home pay calculator,320.0,6.0,0.99,0.22,Informational,90.0,Related Searches
uk tax calculator 2026,320.0,0.0,0.82,0.07,,0.0,
salary vs dividend calculator,320.0,7.0,0.0,0.0,Commercial,90.0,"People Also Ask, Related Searches, Video"
ir35 take home calculator,320.0,17.0,0.85,0.27,Informational,20.0,"Site Links, Video, Related Searches"
income tax calculator including dividends,320.0,13.0,1.58,0.02,Commercial,90.0,"Related Searches, Video"
salary 40k after tax,320.0,11.0,0.0,0.0,Informational,90.0,"Related Searches, AI Overview, Video"
take home pay on 40k,320.0,16.0,0.0,0.0,Informational,90.0,"Related Searches, AI Overview, Video"
take home pay on 45 000,260.0,14.0,0.0,0.33,Informational,90.0,"Video, People Also Ask, Related Searches, AI Overview"
contractor tax calculator,260.0,18.0,1.33,0.19,Commercial,90.0,"Video, Related Searches"
80000 take home pay,260.0,9.0,0.37,0.01,Informational,90.0,"Related Searches, AI Overview"
dividend vs salary uk calculator,260.0,8.0,0.0,0.02,"Informational, Commercial",90.0,"Video, People Also Ask, Related Searches, AI Overview"
company tax calculator uk,260.0,19.0,2.07,0.29,Informational,90.0,"FAQ, Related Searches, Video"
contractor day rate calculator,260.0,16.0,0.99,0.09,Informational,90.0,Related Searches
tax on 60000 salary uk,260.0,8.0,0.28,0.02,Informational,90.0,"Related Searches, AI Overview, Video"
take home pay on 26000,260.0,14.0,0.0,0.0,Informational,90.0,"Related Searches, AI Overview, Video, People Also Ask"
isle of man tax calculator,260.0,14.0,0.0,0.0,Commercial,90.0,"People Also Ask, Related Searches"
take home pay 37000,260.0,20.0,0.0,0.01,Informational,90.0,"AI Overview, Video, Related Searches"
salary sacrifice calculator car scheme,260.0,14.0,0.93,0.76,Informational,20.0,"Video, Related Searches, Site Links"
100k take home pay,260.0,14.0,0.0,0.0,Informational,20.0,"Site Links, Video, People Also Ask, Related Searches, Discussions And Forums, AI Overview"
take home pay on 28000,260.0,10.0,0.0,0.01,Informational,90.0,"Related Searches, AI Overview, Video"
weekly to monthly calculator,260.0,13.0,0.0,0.0,Informational,90.0,"Video, People Also Ask, Related Searches"
umbrella salary calculator inside ir35,260.0,22.0,1.05,0.34,Informational,90.0,Related Searches
13 an hour is how much a year uk,210.0,12.0,0.0,0.0,Informational,90.0,"Related Searches, AI Overview"
teachers pay calculator take home,210.0,13.0,0.0,0.0,"Informational, Commercial",90.0,"Video, Related Searches"
tax dividend calculator,210.0,22.0,1.51,0.01,"Informational, Commercial",90.0,"Related Searches, Video"
35k take home,210.0,14.0,0.0,0.0,Informational,90.0,"Related Searches, AI Overview, Video, People Also Ask"
what is 30000 after tax,210.0,13.0,0.0,0.01,Informational,90.0,"Video, People Also Ask, Related Searches, AI Overview"
tax calculator for a bonus,210.0,28.0,1.3,0.0,"Informational, Commercial",20.0,"Related Searches, Site Links, Video"
50000 after tax uk per month,210.0,16.0,0.68,0.01,Informational,20.0,"AI Overview, Site Links, Video, People Also Ask, Related Searches"
50000 a year after tax,210.0,11.0,0.0,0.0,Informational,90.0,"Video, People Also Ask, Related Searches, AI Overview"
tax on second job under 16 hours,210.0,12.0,0.0,0.0,"Informational, Commercial",20.0,"AI Overview, Site Links, Video, Related Searches"
paystream umbrella calculator,210.0,14.0,1.58,0.31,"Informational, Transactional",20.0,"Site Links, People Also Ask, Related Searches"
contracting calculator,210.0,17.0,1.11,0.1,Informational,75.0,"Video, Related Searches"
contractor take home pay calculator,210.0,14.0,1.39,0.24,Informational,90.0,"Adwords Bottom, Related Searches"
contractor salary calculator uk,210.0,14.0,1.14,0.11,Navigational,90.0,Related Searches
50000 after tax scotland,210.0,17.0,0.0,0.01,Informational,90.0,"Video, People Also Ask, Related Searches, AI Overview"
ir35 calculator take home,210.0,16.0,0.85,0.27,Informational,90.0,"Video, Related Searches"
2400 after tax,210.0,21.0,0.62,0.03,Informational,90.0,"AI Overview, Video, People Also Ask, Related Searches"
limited company calculator,210.0,12.0,2.58,0.2,Informational,90.0,"Video, FAQ, Related Searches"
tax calculator dividends,210.0,25.0,1.51,0.01,"Informational, Commercial",90.0,"Related Searches, Video, FAQ"
part time salary,210.0,14.0,0.11,0.03,Informational,90.0,"Video, People Also Ask, Related Searches, AI Overview"
overtime pay taxable,210.0,14.0,0.0,0.0,Informational,20.0,"Video, People Also Ask, FAQ, Related Searches, AI Overview, Image Pack, Site Links"
inside ir35 salary calculator,210.0,16.0,0.62,0.19,Informational,90.0,"Video, Related Searches"
corporate income tax calculator,210.0,12.0,3.06,0.19,Informational,90.0,"Video, People Also Ask, Related Searches"
30000 salary take home pay,210.0,12.0,0.56,0.01,Informational,90.0,"AI Overview, People Also Ask, Related Searches"
take home pay from 45000,210.0,16.0,0.0,0.0,Informational,90.0,"Related Searches, AI Overview"
what is 40k after tax,210.0,16.0,0.0,0.01,Informational,20.0,"Video, People Also Ask, Related Searches, Discussions And Forums, AI Overview, Site Links"
contractor rate calculator,170.0,7.0,0.94,0.11,Informational,90.0,"Related Searches, Video"
director salary calculator,170.0,26.0,0.0,0.03,Commercial,90.0,"People Also Ask, Related Searches, Video"
34000 take home pay,170.0,12.0,0.0,0.0,Informational,90.0,"Related Searches, AI Overview"
12.21 x 4,170.0,14.0,0.0,0.0,Informational,20.0,"Instant Answer, Video, People Also Ask, Related Searches"
1257l 0,170.0,14.0,0.0,0.01,Informational,20.0,"Site Links, Video, FAQ, Related Searches, AI Overview"
backpay calculator,170.0,10.0,0.0,0.01,Informational,20.0,"Site Links, Related Searches"
how to figure out hourly wage from salary,170.0,26.0,0.0,0.0,Informational,80.0,"Video, Featured Snippet, People Also Ask, Related Searches"
take home pay 35k,170.0,14.0,0.0,0.0,Informational,90.0,"Video, Related Searches, AI Overview"
ir35 salary calculator,170.0,9.0,1.02,0.19,Informational,90.0,"Video, People Also Ask, Related Searches"
ltd company calculator,170.0,12.0,2.58,0.2,Informational,90.0,"Video, FAQ, Related Searches"
45000 after tax uk per month,170.0,12.0,0.7,0.02,Informational,90.0,"Video, People Also Ask, Related Searches, AI Overview"
bonus calculator salary,170.0,27.0,0.0,0.0,"Informational, Commercial",90.0,Related Searches
23000 take home pay,170.0,14.0,0.0,0.01,"Informational, Commercial",90.0,"People Also Ask, Related Searches, AI Overview, Video"
15.50 an hour is how much a year,170.0,18.0,0.0,0.0,Informational,90.0,"AI Overview, People Also Ask, Related Searches"
23 000 after tax,170.0,14.0,0.72,0.01,Informational,90.0,"Video, People Also Ask, Related Searches, AI Overview"
take home on 40k,170.0,12.0,0.0,0.0,Informational,20.0,"Site Links, Video, Related Searches, AI Overview"
60k take home,170.0,9.0,0.0,0.0,Informational,90.0,"AI Overview, Video, Related Searches"
compensation comparison calculator,170.0,24.0,2.13,0.05,Commercial,90.0,"Related Searches, People Also Ask"
25000 after tax salary,170.0,9.0,0.0,0.0,Informational,90.0,"Video, Related Searches, AI Overview"
45 000 take home pay,170.0,0.0,0.0,0.33,,0.0,
40000 after tax per month,170.0,16.0,0.0,0.01,Informational,90.0,"Video, Related Searches, AI Overview"
take home pay of 60000,170.0,9.0,0.34,0.01,Informational,90.0,"Video, Related Searches, AI Overview"
how do you work out hourly rate from yearly salary,170.0,14.0,0.0,0.0,Informational,20.0,"Site Links, Video, People Also Ask, Related Searches, AI Overview"
outside ir35 take home calculator,170.0,8.0,1.05,0.13,Informational,20.0,"Site Links, Video, People Also Ask, Related Searches"
salary calculator contractor,170.0,12.0,1.52,0.17,Informational,90.0,Related Searches
umbrella salary calculator,170.0,16.0,1.21,0.29,Commercial,90.0,Related Searches
yearly to hourly salary,170.0,13.0,0.0,0.0,Informational,90.0,"Video, Related Searches"
4 on 4 off shift pattern pay calculator,170.0,14.0,0.85,0.05,Informational,20.0,"Site Links, People Also Ask, Related Searches, AI Overview"
contract pay calculator,170.0,13.0,1.52,0.17,Informational,90.0,Related Searches
ir35 calculator inside,170.0,9.0,1.09,0.33,Informational,90.0,"Video, Related Searches"
how much do apprentices get paid a month,170.0,14.0,0.0,0.07,Informational,90.0,"People Also Ask, FAQ, Related Searches, Discussions And Forums, AI Overview, Video"
contractor salary,170.0,17.0,0.0,0.03,Informational,75.0,"Discussions And Forums, AI Overview, Video, People Also Ask, Related Searches"
250000 after tax,170.0,14.0,0.0,0.0,Informational,90.0,"AI Overview, Video, People Also Ask, Related Searches"
50000 a year after taxes,170.0,8.0,0.0,0.0,Informational,90.0,"Video, Related Searches, AI Overview"
calculate take home pay on bonus,170.0,26.0,0.0,0.0,"Informational, Commercial",20.0,"Site Links, Related Searches"
how much bonus will i take home,170.0,28.0,0.0,0.0,Informational,20.0,"Related Searches, Site Links, People Also Ask"
ir35 tax calculator,170.0,22.0,1.05,0.35,Informational,90.0,"Video, Related Searches"
take home pay meaning,170.0,17.0,0.0,0.0,Informational,70.0,"FAQ, Related Searches, Knowledge Panel, Video"
take home pay 50000,170.0,14.0,0.61,0.01,Informational,90.0,"AI Overview, Video, Related Searches, Short Videos"
25000 a year is how much a month after taxes,170.0,11.0,0.0,0.01,Informational,90.0,"AI Overview, Video, People Also Ask, Related Searches"
contractor wage calculator uk,140.0,12.0,1.14,0.11,Informational,90.0,"People Also Ask, Related Searches, Video"
ir 35 calculator,140.0,18.0,1.0,0.28,Commercial,90.0,"Video, Related Searches"
ir35 take home pay calculator,140.0,11.0,1.22,0.31,Informational,20.0,"Site Links, Video, Related Searches"
contractor wage calculator,140.0,18.0,1.52,0.17,Informational,90.0,"Video, Related Searches"
60000 after tax per month,140.0,12.0,0.0,0.0,Informational,90.0,"AI Overview, Video, Related Searches"
25200 after tax,140.0,14.0,0.0,0.01,Informational,90.0,"AI Overview, Video, People Also Ask, Related Searches"
contractors calculator,140.0,16.0,1.11,0.1,Informational,75.0,"Video, Related Searches"
directors tax calculator,140.0,20.0,1.65,0.04,Commercial,90.0,"Video, FAQ, Related Searches"
incorporation tax calculator,140.0,11.0,3.06,0.19,Informational,90.0,"FAQ, Related Searches, Video"
take home pay 75k,140.0,0.0,0.0,0.33,,0.0,
take home pay def,140.0,13.0,0.0,0.0,Informational,90.0,"AI Overview, Video, People Also Ask, Related Searches"
take home pay definition,140.0,17.0,0.0,0.0,Informational,90.0,"Video, People Also Ask, Related Searches, AI Overview"
contract rate calculator,140.0,9.0,0.94,0.11,Informational,90.0,"Video, Related Searches"
