Keyword;Position;Search Volume;CPC;Url;Traffic Cost (%);Competition
take home pay calculato;24;480;0.57;https://www.uknetpay.co.uk/;0.00;0.00
25500 after tax;35;480;0.00;https://uknetpay.co.uk/salary/25500-after-tax;0.00;0.33
25500 after tax;28;480;0.00;https://uknetpay.co.uk/salary/25500-after-tax;0.00;0.33
net income uk;49;480;0.00;https://www.uknetpay.co.uk/;0.00;0.00
110000 after tax;48;480;0.00;https://uknetpay.co.uk/salary/109000-after-tax;0.00;0.33
daycare cost;38;480;0.82;https://uknetpay.co.uk/childcare;0.00;0.14
net salary england;48;480;0.00;https://www.uknetpay.co.uk/;0.00;0.00
tax bands hmrc;47;480;0.59;https://uknetpay.co.uk/insights/uk-tax-bands-explained-2026;0.00;0.02
44k after tax uk;39;480;0.00;https://uknetpay.co.uk/salary/44000-after-tax;0.00;0.33
62000 after tax;48;480;0.00;https://uknetpay.co.uk/salary/62000-after-tax;0.00;0.33
netsalarycalucaltor;31;390;0.00;https://uknetpay.co.uk/about;0.00;0.00
23000 after tax uk;50;390;0.00;https://uknetpay.co.uk/salary/233000-after-tax;0.00;0.33
23000 after tax uk;31;390;0.00;https://uknetpay.co.uk/salary/23000-after-tax;0.00;0.33
net salary in uk;50;390;0.00;https://www.uknetpay.co.uk/;0.00;0.00
take home pay estimator;49;390;0.00;https://www.uknetpay.co.uk/;0.00;0.01
56k after tax uk;47;390;0.00;https://uknetpay.co.uk/salary/56500-after-tax;0.00;0.33
take home tax;43;390;0.00;https://www.uknetpay.co.uk/;0.00;0.01
minimum wage take home pay;40;390;0.00;https://www.uknetpay.co.uk/;0.00;0.01
inhand salary calculator uk;43;390;0.58;https://www.uknetpay.co.uk/;0.00;0.02
monthly salary after tax;43;320;0.00;https://www.uknetpay.co.uk/;0.00;0.01
uk net pay;50;320;0.00;https://uknetpay.co.uk/;0.00;0.33
take home uk salary;39;320;0.81;https://www.uknetpay.co.uk/;0.00;0.00
netto salary;36;320;0.00;https://www.uknetpay.co.uk/;0.00;0.00
my pay after tax;49;320;0.66;https://www.uknetpay.co.uk/;0.00;0.01
gross to net earnings;47;320;0.00;https://www.uknetpay.co.uk/;0.00;0.00
51k after tax;46;320;0.00;https://uknetpay.co.uk/salary/51500-after-tax;0.00;0.33
39k after tax uk;43;320;0.00;https://uknetpay.co.uk/salary/39500-after-tax;0.00;0.33
teachers pay rise 2026;48;320;0.11;https://uknetpay.co.uk/insights/teacher-salary-uk-2026;0.00;0.33
take.home.calculator;46;320;0.70;https://www.uknetpay.co.uk/;0.00;0.00
pay take home after tax;46;260;0.85;https://www.uknetpay.co.uk/;0.00;0.01
pay take home after tax;40;260;0.85;https://www.uknetpay.co.uk/;0.00;0.01
how to work out net pay;45;260;0.70;https://www.uknetpay.co.uk/;0.00;0.04
salary net calculator;48;260;0.00;https://www.uknetpay.co.uk/;0.00;0.00
teacher pay scale 26 27;46;260;0.00;https://uknetpay.co.uk/insights/teacher-salary-uk-2026;0.00;0.33
54k after tax uk;49;260;0.00;https://uknetpay.co.uk/salary/54000-after-tax;0.00;0.33
income tax scotland vs england;47;260;0.00;https://uknetpay.co.uk/insights/scotland-vs-england-tax-2026;0.00;0.33
140k after tax;48;260;0.00;https://uknetpay.co.uk/salary/140000-after-tax;0.00;0.33
reverse tax calculator uk;32;260;1.12;https://www.uknetpay.co.uk/reverse;0.00;0.02
hmrc calculate take home pay;46;260;0.74;https://www.uknetpay.co.uk/;0.00;0.01
average pay rise uk 2026;45;260;0.00;https://uknetpay.co.uk/insights/average-salary-by-age-uk-2026;0.00;0.33
minimum wage take home;26;260;0.00;https://www.uknetpay.co.uk/;0.00;0.01
average wage manchester;41;260;0.00;https://uknetpay.co.uk/insights/average-salary-manchester-2026;0.00;0.33
wage checker;50;260;0.00;https://www.uknetpay.co.uk/;0.00;0.02
62000 after tax uk;47;260;0.00;https://uknetpay.co.uk/salary/62000-after-tax;0.00;0.01
work out part time salary;29;260;0.00;https://www.uknetpay.co.uk/pro-rata;0.00;0.01
56k after tax;47;260;0.00;https://uknetpay.co.uk/salary/56500-after-tax;0.00;0.33
net pay calculator hmrc;48;210;0.00;https://www.uknetpay.co.uk/;0.00;0.00
scotland median income;32;210;0.00;https://uknetpay.co.uk/insights/average-salary-scotland-2026;0.00;0.33
26k take home pay;50;210;0.00;https://uknetpay.co.uk/salary/260000-after-tax;0.00;0.33
46 000 after tax;46;210;0.00;https://uknetpay.co.uk/salary/46000-after-tax;0.00;0.33
28000 salary after tax;48;210;0.00;https://www.uknetpay.co.uk/salary/27000-after-tax;0.00;0.00
35500 after tax;44;210;0.00;https://www.uknetpay.co.uk/salary/39500-after-tax;0.00;0.00
35500 after tax;34;210;0.00;https://www.uknetpay.co.uk/salary/34500-after-tax;0.00;0.00
monthly pay after tax calculator;44;210;0.52;https://www.uknetpay.co.uk/;0.00;0.04
reverse salary calculator;34;210;0.00;https://uknetpay.co.uk/reverse;0.00;0.33
63k after tax;44;210;0.00;https://uknetpay.co.uk/salary/63000-after-tax;0.00;0.33
tax from two jobs;48;210;0.00;https://uknetpay.co.uk/two-jobs;0.00;0.01
take home pay 27000;50;210;0.00;https://uknetpay.co.uk/salary/27000-after-tax;0.00;0.33
32500 after tax uk;36;170;0.00;https://uknetpay.co.uk/salary/32500-after-tax;0.00;0.01
28500 after tax uk;46;170;0.00;https://uknetpay.co.uk/salary/285500-after-tax;0.00;0.33
28500 after tax uk;40;170;0.00;https://uknetpay.co.uk/salary/27500-after-tax;0.00;0.33
28500 after tax uk;31;170;0.00;https://uknetpay.co.uk/salary/28500-after-tax;0.00;0.33
tax home salary calculator;50;170;0.57;https://www.uknetpay.co.uk/;0.00;0.00
uk take home tax calculator;45;170;0.76;https://www.uknetpay.co.uk/;0.00;0.04
59000 after tax;30;170;0.00;https://uknetpay.co.uk/salary/59000-after-tax;0.00;0.33
salary after tax london;49;170;0.00;https://www.uknetpay.co.uk/;0.00;0.01
27k take home pay;42;170;0.00;https://www.uknetpay.co.uk/salary/27000-after-tax;0.00;0.00
77000 after tax;35;170;0.00;https://uknetpay.co.uk/salary/76000-after-tax;0.00;0.00
what is my after tax salary;49;170;0.53;https://www.uknetpay.co.uk/;0.00;0.02
gp uk salary;43;170;2.00;https://uknetpay.co.uk/insights/gp-doctor-salary-uk-2026;0.00;0.01
calculate my net pay;37;170;0.00;https://www.uknetpay.co.uk/;0.00;0.01
53 000 after tax;41;170;0.00;https://uknetpay.co.uk/salary/53500-after-tax;0.00;0.33
53 000 after tax;40;170;0.00;https://uknetpay.co.uk/salary/53500-after-tax;0.00;0.33
uk monthly take home pay calculator;48;170;0.63;https://www.uknetpay.co.uk/;0.00;0.02
22k after tax uk;50;170;0.00;https://uknetpay.co.uk/salary/220000-after-tax;0.00;0.33
27k a year after tax;49;170;0.00;https://uknetpay.co.uk/salary/27000-after-tax;0.00;0.33
64000 after tax uk;43;170;0.00;https://uknetpay.co.uk/salary/64000-after-tax;0.00;0.33
84000 after tax;42;170;0.00;https://uknetpay.co.uk/salary/84000-after-tax;0.00;0.33
uk gross net;49;170;0.00;https://www.uknetpay.co.uk/;0.00;0.00
what will i get paid after tax;47;170;0.00;https://www.uknetpay.co.uk/;0.00;0.02
check my take home pay;49;170;0.00;https://www.uknetpay.co.uk/;0.00;0.02
120 000 after tax uk;33;170;0.00;https://uknetpay.co.uk/salary/120000-after-tax;0.00;0.33
1257l w1 m1 tax code;45;140;0.00;https://uknetpay.co.uk/insights/emergency-tax-code-1257l-explained;0.00;0.01
140000 after tax uk;50;140;0.00;https://uknetpay.co.uk/salary/140000-after-tax;0.00;0.33
average wage in liverpool;27;140;0.00;https://uknetpay.co.uk/insights/average-salary-liverpool-2026;0.00;0.33
71000 after tax;39;140;0.00;https://uknetpay.co.uk/salary/11000-after-tax;0.00;0.33
takehomepay calculator;30;140;0.57;https://www.uknetpay.co.uk/;0.00;0.00
59k after tax uk;39;140;0.00;https://uknetpay.co.uk/salary/59000-after-tax;0.00;0.33
work out my wages;45;140;0.82;https://www.uknetpay.co.uk/;0.00;0.04
take home pay 26000;32;140;0.00;https://www.uknetpay.co.uk/;0.00;0.00
average uk take home pay;34;140;0.00;https://www.uknetpay.co.uk/;0.00;0.00
120 000 after tax;31;140;0.00;https://uknetpay.co.uk/salary/120000-after-tax;0.00;0.33
300k after tax;48;140;0.00;https://uknetpay.co.uk/salary/300000-after-tax;0.00;0.33
london salary tax calculator;46;140;0.00;https://www.uknetpay.co.uk/;0.00;0.01
28 000 salary after tax;49;140;0.00;https://uknetpay.co.uk/salary/34000-after-tax;0.00;0.33
31500 after tax uk;43;140;0.00;https://uknetpay.co.uk/salary/31500-after-tax;0.00;0.33
average wage in glasgow;34;140;0.00;https://uknetpay.co.uk/insights/average-salary-glasgow-2026;0.00;0.33
take home pay on 31000;40;140;0.00;https://uknetpay.co.uk/salary/31000-after-tax;0.00;0.33
28 000 after tax uk;48;140;0.00;https://uknetpay.co.uk/salary/27000-after-tax;0.00;0.01
salary counter;49;140;0.00;https://www.uknetpay.co.uk/;0.00;0.02
uksalarycalculator;41;140;0.80;https://www.uknetpay.co.uk/;0.00;0.01
salary calculator 2 jobs;40;140;0.00;https://uknetpay.co.uk/two-jobs;0.00;0.33
pay and bonus calculator;50;140;0.00;https://www.uknetpay.co.uk/;0.00;0.00
uk reverse tax calculator;22;110;1.12;https://www.uknetpay.co.uk/reverse;0.00;0.02
what's my take home;49;110;0.00;https://www.uknetpay.co.uk/;0.00;0.00
average wage glasgow;30;110;0.00;https://uknetpay.co.uk/insights/average-salary-glasgow-2026;0.00;0.33
42500 after tax uk;39;110;0.00;https://uknetpay.co.uk/salary/142500-after-tax;0.00;0.01
salary calculator london uk;45;110;0.00;https://www.uknetpay.co.uk/;0.00;0.01
take home calcultor;46;110;0.70;https://www.uknetpay.co.uk/;0.00;0.00
160 000 after tax;46;110;0.00;https://uknetpay.co.uk/salary/160000-after-tax;0.00;0.33
83k after tax uk;35;110;0.00;https://uknetpay.co.uk/salary/83500-after-tax;0.00;0.33
salaries after tax uk;32;110;0.55;https://www.uknetpay.co.uk/;0.00;0.00
whats my annual income;50;110;0.00;https://www.uknetpay.co.uk/;0.00;0.00
24 500 after tax;50;110;0.00;https://uknetpay.co.uk/salary/24500-after-tax;0.00;0.33
24 500 after tax;32;110;0.00;https://uknetpay.co.uk/salary/24500-after-tax;0.00;0.33
76000 after tax uk;45;110;0.00;https://uknetpay.co.uk/salary/76500-after-tax;0.00;0.33
76000 after tax;45;110;0.00;https://uknetpay.co.uk/salary/267000-after-tax;0.00;0.33
88000 after tax;40;110;0.00;https://uknetpay.co.uk/salary/88500-after-tax;0.00;0.33
average salary in leeds uk;23;110;0.00;https://uknetpay.co.uk/insights/average-salary-leeds-2026;0.00;0.33
36500 after tax uk;34;110;0.00;https://uknetpay.co.uk/salary/36500-after-tax;0.00;0.33
48500 after tax;48;110;0.00;https://uknetpay.co.uk/salary/88500-after-tax;0.00;0.33
48500 after tax;36;110;0.00;https://uknetpay.co.uk/salary/48500-after-tax;0.00;0.33
how much does childcare cost;43;110;0.49;https://uknetpay.co.uk/childcare;0.00;0.12
24500 after tax uk;36;110;0.00;https://uknetpay.co.uk/salary/24500-after-tax;0.00;0.33
net monthly;46;110;0.00;https://www.uknetpay.co.uk/;0.00;0.00
48000 take home pay;42;110;0.00;https://www.uknetpay.co.uk/;0.00;0.01
octopus salary sacrifice calculator;31;90;0.86;https://uknetpay.co.uk/salary-sacrifice/electric-car;0.00;0.19
how much is childcare in uk;49;90;0.60;https://uknetpay.co.uk/childcare;0.00;0.18
net calculator uk salary;32;90;0.60;https://www.uknetpay.co.uk/;0.00;0.01
how much is 30 hours free childcare worth;45;90;0.61;https://uknetpay.co.uk/childcare;0.00;0.14
check pay after tax;50;90;0.00;https://www.uknetpay.co.uk/;0.00;0.02
71k after tax;42;90;0.00;https://uknetpay.co.uk/salary/71000-after-tax;0.00;0.00
71k after tax;40;90;0.00;https://uknetpay.co.uk/salary/71000-after-tax;0.00;0.00
