Keyword;Position;Search Volume;CPC;Url;Traffic (%);Traffic Cost (%);Competition;Number of Results
pro rata calc;65;720;2.46;https://www.uknetpay.co.uk/pro-rata;0.00;0.00;0.03;100
1257l w1 m1 tax code;45;140;0.00;https://uknetpay.co.uk/insights/emergency-tax-code-1257l-explained;0.00;0.00;0.01;119
work out pro rata pay;86;720;1.87;https://www.uknetpay.co.uk/pro-rata;0.00;0.00;0.05;105
hourly rate uk calculator;61;1300;0.00;https://uknetpay.co.uk/hourly;0.00;0.00;0.33;102
hour rate calculator uk;63;110;0.00;https://uknetpay.co.uk/hourly;0.00;0.00;0.33;104
take home calculator with bonus;78;260;0.00;https://www.uknetpay.co.uk/take-home;0.00;0.00;0.00;102
octopus salary sacrifice calculator;31;90;0.86;https://uknetpay.co.uk/salary-sacrifice/electric-car;0.00;0.00;0.19;112
uk income calculator;87;590;0.00;https://uknetpay.co.uk/;0.00;0.00;0.01;112
what does pro rata mean salary;93;720;5.22;https://www.uknetpay.co.uk/pro-rata;0.00;0.00;0.01;104
my take home pay;54;2400;0.59;https://www.uknetpay.co.uk/;0.00;0.00;0.00;121
gross pay calculator uk;69;390;0.67;https://www.uknetpay.co.uk/;0.00;0.00;0.01;108
hmrc net pay calculator;69;260;0.00;https://www.uknetpay.co.uk/;0.00;0.00;0.00;1830000
take-home pay calculator uk;86;1900;0.58;https://www.uknetpay.co.uk/;0.00;0.00;0.01;113
explain pro rata salary;94;170;0.00;https://www.uknetpay.co.uk/pro-rata;0.00;0.00;0.01;105
tax of salary;97;110;0.65;https://www.uknetpay.co.uk/;0.00;0.00;0.01;541000000
tax salary calculation;86;390;0.62;https://www.uknetpay.co.uk/;0.00;0.00;0.01;131
gross to net in uk;68;320;0.00;https://www.uknetpay.co.uk/;0.00;0.00;0.01;108
100 000 after tax uk;89;320;0.00;https://uknetpay.co.uk/salary/100500-after-tax;0.00;0.00;0.33;124
100 000 after tax uk;91;320;0.00;https://uknetpay.co.uk/salary/100500-after-tax;0.00;0.00;0.33;124
netsalarycalucaltor;31;390;0.00;https://uknetpay.co.uk/about;0.00;0.00;0.00;153
tax threshold 2026;84;1600;0.41;https://uknetpay.co.uk/insights/uk-tax-bands-explained-2026;0.00;0.00;0.05;127
take home salary .;49;1000;0.00;https://www.uknetpay.co.uk/;0.00;0.00;0.00;121
take home salary .;54;1000;0.00;https://www.uknetpay.co.uk/;0.00;0.00;0.00;121
how to work out wages pro rata;96;90;1.33;https://www.uknetpay.co.uk/pro-rata;0.00;0.00;0.04;109
how to work out my annual salary;88;140;0.00;https://uknetpay.co.uk/;0.00;0.00;0.33;108
income pay calculator;61;140;0.00;https://www.uknetpay.co.uk/;0.00;0.00;0.01;117
gross to net pay calculator uk;83;720;0.60;https://www.uknetpay.co.uk/;0.00;0.00;0.01;109
how much salary will i take home;85;210;0.43;https://uknetpay.co.uk/;0.00;0.00;0.02;120
calculate salary raise;63;320;0.00;https://uknetpay.co.uk/pay-rise;0.00;0.00;0.33;76
gross to net pay uk;77;260;0.00;https://www.uknetpay.co.uk/;0.00;0.00;0.01;119
weekly wage calculator;60;720;1.44;https://www.uknetpay.co.uk/;0.00;0.00;0.01;109
what are the tax bands in the uk;95;590;0.35;https://uknetpay.co.uk/insights/uk-tax-bands-explained-2026;0.00;0.00;0.10;155
44000 after tax uk;37;480;0.00;https://uknetpay.co.uk/salary/44000-after-tax;0.00;0.00;0.33;111
tax and salary;86;110;0.65;https://www.uknetpay.co.uk/;0.00;0.00;0.01;555000000
prorata salary calculator;75;320;2.39;https://uknetpay.co.uk/pro-rata;0.00;0.00;0.02;103
per hour rate in uk;61;140;0.00;https://www.uknetpay.co.uk/hourly;0.00;0.00;0.01;114
27 000 after tax uk;64;90;0.00;https://www.uknetpay.co.uk/salary/27000-after-tax;0.00;0.00;0.01;66700000
uk net salary calculator;93;1600;0.60;https://www.uknetpay.co.uk/;0.00;0.00;0.01;106
hourly rate;82;1300;0.00;https://uknetpay.co.uk/hourly;0.00;0.00;0.33;126
calculate your salary;82;90;0.00;https://www.uknetpay.co.uk/;0.00;0.00;0.03;248000000
tax band rates;82;210;0.52;https://uknetpay.co.uk/insights/uk-tax-bands-explained-2026;0.00;0.00;0.02;130
wages take home calculator;72;720;0.57;https://www.uknetpay.co.uk/;0.00;0.00;0.00;111
compare salary uk;76;110;2.12;https://uknetpay.co.uk/compare;0.00;0.00;0.09;109
how to work out pro rata salary;90;1900;1.33;https://uknetpay.co.uk/pro-rata;0.00;0.00;0.04;101
wage calculator monthly;89;110;0.72;https://www.uknetpay.co.uk/;0.00;0.00;0.01;111
pay take home after tax;40;260;0.85;https://www.uknetpay.co.uk/;0.00;0.00;0.01;121
pay take home after tax;46;260;0.85;https://www.uknetpay.co.uk/;0.00;0.00;0.01;121
pay take home after tax;64;260;0.85;https://www.uknetpay.co.uk/take-home?salary=137500;0.00;0.00;0.01;121
pay take home after tax;71;260;0.85;https://www.uknetpay.co.uk/;0.00;0.00;0.01;121
take home pay calculator part time;85;170;0.00;https://www.uknetpay.co.uk/pro-rata;0.00;0.00;0.33;106
per hour pay;76;140;5.56;https://www.uknetpay.co.uk/hourly;0.00;0.00;0.03;119
pay calculator uk hourly;64;1000;0.00;https://uknetpay.co.uk/hourly;0.00;0.00;0.33;98
income salary calculator;59;390;0.00;https://www.uknetpay.co.uk/;0.00;0.00;0.00;114
27k after tax uk;47;720;0.00;https://www.uknetpay.co.uk/salary/27000-after-tax;0.00;0.00;0.00;107
what's my take home;49;110;0.00;https://www.uknetpay.co.uk/;0.00;0.00;0.00;117
what does pro rata salary mean;94;880;5.22;https://www.uknetpay.co.uk/pro-rata;0.00;0.00;0.01;106
annual salary calculator uk;65;590;0.73;https://www.uknetpay.co.uk/;0.00;0.00;0.02;63300000
annual salary calculator uk;71;590;0.73;https://www.uknetpay.co.uk/;0.00;0.00;0.02;63300000
calculate my annual salary;61;90;0.00;https://www.uknetpay.co.uk/;0.00;0.00;0.01;113
